"work_id","title","rating","category","fandom","relationship","character","additional.tags","language","published","status","status.date","words","chapters","comments","kudos","bookmarks","hits"
24115861,"This Ragged Banner","Teen And Up Audiences","M/M","Lang Ye Bang  | Nirvana in Fire (TV)","Lin Shu | Mei Changsu | Su Zhe/Xiao Jingyan, Lin Chen/Lin Shu | Mei Changsu | Su Zhe, Lin Chen/Lin Shu | Mei Changsu | Su Zhe/Xiao Jingyan","Lin Shu | Mei Changsu | Su Zhe, Xiao Jingyan, Fei Liu, Lin Xie, Lin Chen (Nirvana in Fire), Grand Princess Jinyang, Xiao Jingyu, Lin Yueyao","Inspired by Orpheus and Eurydice (Ancient Greek Religion & Lore), Alternate Universe - Ancient Greek Religion & Lore Fusion, Inspired by Hades and Persephone (Ancient Greek Religion & Lore), Take the Major Character Death thing with a grain of salt, it's true, but like half of this fic takes place in the underworld, so it's a little misleading, Enemies to Friends to Lovers","English","2020-05-10","Updated","2020-06-07",3625,"3/15","37","36","4",213
24308776,"Poems in Comfort","Teen And Up Audiences","Gen, M/M, Multi","Lang Ye Bang  | Nirvana in Fire (TV)","","Lin Shu | Mei Changsu | Su Zhe, Xiao Jingyan, Lin Chen (Nirvana in Fire), Mu Nihuang","Poetry, Fealty, ALL THE FEALTY, Grief/Mourning","English","2020-05-21","Updated","2020-06-06",1054,"13/?","null","11","1",47
24555373,"yesterday and tomorrow,","Explicit","M/M","Lang Ye Bang  | Nirvana in Fire (TV)","Lie Zhanying/Xiao Jingyan, Lie Zhanying/Lin Shu | Mei Changsu | Su Zhe","Lie Zhanying, Xiao Jingyan, Lin Shu | Mei Changsu | Su Zhe","Dubious Consent, Anal Fingering, Semi-Public Sex, Sexual Slavery, Alternate Universe","English","2020-06-05","Completed","2020-06-05",3788,"1/1","2","12","null",83
17373404,"Preordained","General Audiences","F/F, F/M, M/M","Lang Ye Bang  | Nirvana in Fire (TV)","Lin Shu | Mei Changsu | Su Zhe/Xiao Jingyan","Xiao Jing Huan, Xiao Jing Yan, Xiao Jing Xuan, Lin Shu | Mei Changsu | Su Zhe, Lin Chen, Meng Zhi, Fei Liu, Gong Yu, Mu Qing, Mu Ni Huang","","English","2019-01-10","Updated","2020-06-05",34409,"8/?","59","74","4",1217
24497515,"as if he were the last god going home (he goes mostly alone)","General Audiences","Gen","Lang Ye Bang  | Nirvana in Fire (TV)","Lin Shu | Mei Changsu | Su Zhe & Xiao Jingyan, Lin Shu | Mei Changsu | Su Zhe/Mu Nihuang, Fei Liu & Lin Shu | Mei Changsu | Su Zhe","Lin Shu | Mei Changsu | Su Zhe, Fei Liu","Friendship, Angst, the beginning of the end for some is the hope of a better world for others, set at the start of the show, i have only seen up to episode 37, if anyone spoils the ending i will send fei liu after them, gift fic for TolkienGirl","English","2020-06-01","Completed","2020-06-01",807,"1/1","4","12","4",43
24481021,"entanglements, unwise","Teen And Up Audiences","M/M","Lang Ye Bang  | Nirvana in Fire (TV)","Lin Shu | Mei Changsu | Su Zhe/Xiao Jingyan","Lin Shu | Mei Changsu | Su Zhe, Xiao Jingyan","Episode Tag, big morals, Making Out, other ships/characters/tags to be added as they come up, Alternate Universe - Everyone Lives/Nobody Dies","English","2020-06-01","Updated","2020-06-01",1518,"1/?","9","44","3",143
24480028,"[PODFIC] All Rivers Run East by Katharos","General Audiences","Gen","Lang Ye Bang  | Nirvana in Fire (TV)","","Xiao Jingyan, Lie Zhanying, Consort Jing (Nirvana in Fire)","mermaid!au, Mer!Jingyan, Mer!Consort Jing, Podfic, Podfic Length: 0-10 Minutes","English","2020-05-31","Completed","2020-05-31",24,"1/1","null","null","null",4
24462298,"the dead are changeless","Mature","F/M, M/M, Multi","Lang Ye Bang  | Nirvana in Fire (TV)","Lin Shu | Mei Changsu | Su Zhe/Xiao Jingyan, Mu Nihuang/Xiao Jingyan, Mu Nihuang/Xiao Jingyan/Meng Zhi","Lin Shu | Mei Changsu | Su Zhe, Xiao Jingyan, Mu Nihuang, Meng Zhi","Ficlet, Post-Canon, Fix-It, ambiguous sexual content, Polyamory, They all have hands I don't make the rules","English","2020-05-30","Completed","2020-05-30",835,"1/1","3","17","2",61
24296680,"An Orange Banner Against the Snowy Sky","General Audiences","Multi, F/M","Lang Ye Bang  | Nirvana in Fire (TV)","Lin Shu | Mei Changsu | Su Zhe/Mu Nihuang, Mu Nihuang & Xia Dong, Lin Shu | Mei Changsu | Su Zhe & Xiao Jingyan, Lin Shu | Mei Changsu | Su Zhe/Xiao Jingyan","Lin Shu | Mei Changsu | Su Zhe, Mu Nihuang, Xiao Jingyan, Xia Dong","Pre-Canon, Snowball Fight, Fluff, Friendship, Jingyan has no idea what a crush is","English","2020-05-28","Completed","2020-05-28",1771,"1/1","10","12","3",64
6474526,"PODFIC: In Time, Once Again [Yi Shi Zhen  ENG]","Teen And Up Audiences","Gen, M/M","Lang Ye Bang  | Nirvana in Fire (TV)","Lin Shu | Mei Changsu | Su Zhe/Xiao Jingyan, Shu Yan ","Lin Shu | Mei Changsu | Su Zhe, Xiao Jingyan, Meng Zhi, Fei Liu, Mu Nihuang","Time Travel, Translation, Podfic & Podficced Works, Do-Over, Hurt/Comfort, Angst, Friendship, Podfic","English","2016-04-06","Updated","2020-05-25",144,"13/42","13","33","4",1764
